SKU_ID,SKU_Category,Subdivision,Supplier_ID,Date,Lifecycle_Phase,Forecast,Actual_Demand,Demand_Fluctuation,Lead_Time_Days,On_Hand_Inventory,Remaining_Shelf_Life_Months,Total_Shelf_Life_Months,Last_Sales_Date,Forecast_Accuracy,Safety_Stock,Reorder_Point,Excess_Stock,Obsolete_Inventory_Value,Carrying_Cost,Obsolete_Inventory_Writeoff,Defective_Rate,Target_Service_Level,Return_Rate,Unit_Cost,Handling_Cost_Per_Unit,Warehouse_Utilization_Percentage
SKU_0001,Fast-Moving,Pharmaceuticals,SUP_010,2022-01-31,Maturity,188.73,219.97,16.03,22,313.77,0,6,2022-01-05,0.83,20,70,93.8,0.0,6.28,0.0,0.035,0.95,0.02,79.35,1.93,88.56
SKU_0001,Fast-Moving,Petrochemicals,SUP_007,2022-02-28,Growth,223.21,235.44,-6.69,14,264.15,9,18,2022-02-05,0.95,20,70,28.7,0.0,5.28,0.0,0.035,0.95,0.02,79.35,1.93,88.56
SKU_0001,Fast-Moving,Petrochemicals,SUP_007,2022-03-31,Decline,439.12,443.19,81.62,40,550.76,10,18,2022-01-22,0.99,20,70,107.57,127.28,11.02,101.82,0.035,0.95,0.02,79.35,1.93,88.56
SKU_0001,Fast-Moving,Specialty Chemicals,SUP_014,2022-04-30,Decline,415.62,450.39,17.42,15,582.44,11,18,2022-01-08,0.92,20,70,132.05,118.73,11.65,94.98,0.035,0.95,0.02,79.35,1.93,88.56
SKU_0001,Fast-Moving,Agrochemicals,SUP_003,2022-05-31,Growth,223.34,201.25,-9.46,8,240.93,0,6,2022-01-30,0.9,20,70,39.68,0.0,4.82,0.0,0.035,0.95,0.02,79.35,1.93,88.56
SKU_0001,Fast-Moving,Petrochemicals,SUP_012,2022-06-30,Maturity,249.25,247.75,-7.05,40,302.28,13,18,2022-06-22,0.99,20,70,54.53,0.0,6.05,0.0,0.035,0.95,0.02,79.35,1.93,88.56
SKU_0001,Fast-Moving,Pharmaceuticals,SUP_020,2022-07-31,Maturity,383.62,353.55,-4.68,19,458.19,20,24,2022-07-08,0.92,20,70,104.64,0.0,9.16,0.0,0.035,0.95,0.02,79.35,1.93,88.56
SKU_0001,Fast-Moving,Agrochemicals,SUP_013,2022-08-31,Growth,139.84,135.98,0.64,36,200.32,15,18,2022-08-02,0.97,20,70,64.34,0.0,4.01,0.0,0.035,0.95,0.02,79.35,1.93,88.56
SKU_0001,Fast-Moving,Petrochemicals,SUP_006,2022-09-30,Decline,510.74,514.92,98.24,12,731.07,4,6,2022-04-16,0.99,20,70,216.15,271.79,14.62,217.43,0.035,0.95,0.02,79.35,1.93,88.56
SKU_0001,Fast-Moving,Pharmaceuticals,SUP_005,2022-10-31,Growth,161.33,104.16,5.13,36,123.74,5,6,2022-08-02,0.65,20,70,19.58,0.0,2.47,0.0,0.035,0.95,0.02,79.35,1.93,88.56
