SKU_ID,SKU_Category,Subdivision,Supplier_ID,Date,Lifecycle_Phase,Forecast,Actual_Demand,Demand_Fluctuation,Lead_Time_Days,On_Hand_Inventory,Remaining_Shelf_Life_Months,Total_Shelf_Life_Months,Last_Sales_Date,Forecast_Accuracy,Safety_Stock,Reorder_Point,Excess_Stock,Obsolete_Inventory_Value,Carrying_Cost,Obsolete_Inventory_Writeoff,Defective_Rate,Target_Service_Level,Return_Rate,Unit_Cost,Handling_Cost_Per_Unit,Warehouse_Utilization_Percentage,Month,Demand_3M_Rolling_Avg,Lagged_Demand,Predicted_E&O_Risk
SKU_0001,Fast-Moving,Petrochemicals,SUP_007,2022-03-31,Decline,439.12,443.19,81.62,40.0,550.76,10.0,18.0,2022-01-22,0.99,20.0,70.0,107.57,127.28,11.02,101.82,0.035,0.95,0.02,79.35,1.93,88.56,3,339.315,235.44,High-Risk
SKU_0001,Fast-Moving,Petrochemicals,SUP_012,2022-06-30,Maturity,249.25,247.75,-7.05,40.0,302.28,13.0,18.0,2022-06-22,0.99,20.0,70.0,54.53,0.0,6.05,0.0,0.035,0.95,0.02,79.35,1.93,88.56,6,308.79333333333335,443.19,Low-Risk
SKU_0001,Fast-Moving,Pharmaceuticals,SUP_020,2022-07-31,Maturity,383.62,353.55,-4.68,19.0,458.19,20.0,24.0,2022-07-08,0.92,20.0,70.0,104.64,0.0,9.16,0.0,0.035,0.95,0.02,79.35,1.93,88.56,7,286.76,219.97,High-Risk
SKU_0001,Fast-Moving,Agrochemicals,SUP_013,2022-08-31,Growth,139.84,135.98,0.64,36.0,200.32,15.0,18.0,2022-08-02,0.97,20.0,70.0,64.34,0.0,4.01,0.0,0.035,0.95,0.02,79.35,1.93,88.56,8,168.615,201.25,Low-Risk
SKU_0001,Fast-Moving,Petrochemicals,SUP_006,2022-09-30,Decline,510.74,514.92,98.24,12.0,731.07,4.0,6.0,2022-04-16,0.99,20.0,70.0,216.15,271.79,14.62,217.43,0.035,0.95,0.02,79.35,1.93,88.56,9,401.9533333333334,247.75,High-Risk
SKU_0001,Fast-Moving,Pharmaceuticals,SUP_005,2022-10-31,Growth,161.33,104.16,5.13,36.0,123.74,5.0,6.0,2022-08-02,0.65,20.0,70.0,19.58,0.0,2.47,0.0,0.035,0.95,0.02,79.35,1.93,88.56,10,225.89333333333335,353.55,Low-Risk
SKU_0001,Fast-Moving,Industrial Gases,SUP_014,2022-12-31,Growth,588.0,579.99,108.4,13.0,648.89,1.0,12.0,2022-08-13,0.99,20.0,70.0,68.9,0.0,12.98,0.0,0.035,0.95,0.02,79.35,1.93,88.56,12,530.04,480.09,Low-Risk
SKU_0001,Fast-Moving,Agrochemicals,SUP_005,2023-01-31,Introduction,393.24,422.93,23.64,9.0,478.0,14.0,24.0,2022-12-12,0.92,20.0,70.0,55.07,0.0,9.56,0.0,0.035,0.95,0.02,79.35,1.93,88.56,1,253.38666666666666,135.98,Low-Risk
SKU_0001,Fast-Moving,Specialty Chemicals,SUP_011,2023-02-28,Maturity,517.22,486.25,40.92,21.0,599.12,3.0,12.0,2022-09-25,0.94,20.0,70.0,112.87,0.0,11.98,0.0,0.035,0.95,0.02,79.35,1.93,88.56,2,468.32,450.39,High-Risk
SKU_0001,Fast-Moving,Petrochemicals,SUP_018,2023-03-31,Growth,226.46,239.97,37.26,12.0,299.86,0.0,6.0,2023-02-03,0.94,20.0,70.0,59.89,0.0,6.0,0.0,0.035,0.95,0.02,79.35,1.93,88.56,3,334.2133333333333,514.92,Low-Risk
